PV,TC,LAL,LAH-1,LAH-2,V-6,RV-4,"RV-1,2,3",Output
Normal ,Low ,Normal ,Medium,Normal ,Medium,Normal ,Normal,Medium risk
Normal ,Low ,Normal ,Medium,Normal ,Medium,Normal ,Medium,Medium risk
Normal ,Low ,Normal ,Medium,Normal ,Medium,Normal ,Fail,High risk
Normal ,Low ,Normal ,Medium,Normal ,Fail,Medium,Normal ,High risk
Normal ,Low ,Normal ,Medium,Normal ,Fail,Medium,Medium,High risk
Normal ,Low ,Normal ,Medium,Normal ,Fail,Medium,Fail,High risk
Normal ,Low ,Normal ,Medium,Normal ,Fail,Fail,Normal ,High risk
Normal ,Low ,Normal ,Medium,Normal ,Fail,Fail,Medium,High risk
Normal ,Low ,Normal ,Medium,Normal ,Fail,Fail,Fail,Emergency
Normal ,Low ,Normal ,Fail,Medium,Normal ,Normal ,Normal ,High risk
Normal ,Low ,Normal ,Fail,Medium,Normal ,Normal ,Medium,High risk
Normal ,Low ,Normal ,Fail,Medium,Normal ,Normal ,Fail,High risk
Normal ,Low ,Normal ,Fail,Medium,Normal ,Medium,Normal ,High risk
Normal ,Low ,Normal ,Fail,Medium,Normal ,Medium,Medium,High risk
Normal ,Low ,Normal ,Fail,Medium,Normal ,Medium,Fail,Emergency
Normal ,Low ,Normal ,Fail,Medium,Medium,Fail,Normal ,High risk
Normal ,Low ,Normal ,Fail,Medium,Medium,Fail,Medium,High risk
Normal ,Low ,Normal ,Fail,Medium,Medium,Fail,Fail,Emergency
Normal ,Low ,Normal ,Fail,Fail,Medium,Normal ,Normal ,High risk
Normal ,Low ,Normal ,Fail,Fail,Medium,Normal ,Medium,High risk
Normal ,Low ,Normal ,Fail,Fail,Medium,Normal ,Fail,Emergency
Normal ,Low ,Normal ,Fail,Fail,Fail,Medium,Normal ,Emergency
Normal ,Low ,Normal ,Fail,Fail,Fail,Medium,Medium,Emergency
Normal ,Low ,Normal ,Fail,Fail,Fail,Medium,Fail,Emergency
Normal ,Low ,Normal ,Fail,Fail,Fail,Fail,Normal ,Emergency
Normal ,Low ,Normal ,Fail,Fail,Fail,Fail,Medium,Emergency
Normal ,Low ,Normal ,Fail,Fail,Fail,Fail,Fail,Emergency
Normal ,Low ,Medium,Normal ,Normal ,Normal ,Normal ,Normal ,Low risk 
Normal ,Low ,Medium,Normal ,Normal ,Normal ,Normal ,Medium,Low risk 
Normal ,Low ,Medium,Normal ,Normal ,Normal ,Normal ,Fail,High risk
Normal ,Low ,Medium,Normal ,Normal ,Normal ,Medium,Normal ,Medium risk
Normal ,Low ,Medium,Normal ,Normal ,Normal ,Medium,Medium,Medium risk
Normal ,Low ,Medium,Normal ,Normal ,Normal ,Medium,Fail,High risk
Normal ,Low ,Medium,Normal ,Normal ,Medium,Fail,Normal ,High risk
Normal ,Low ,Medium,Normal ,Normal ,Medium,Fail,Medium,High risk
Normal ,Low ,Medium,Normal ,Normal ,Medium,Fail,Fail,High risk
Normal ,Low ,Medium,Normal ,Medium,Medium,Normal ,Normal ,High risk
Normal ,Low ,Medium,Normal ,Medium,Medium,Normal ,Medium,High risk
Normal ,Low ,Medium,Normal ,Medium,Medium,Normal ,Fail,High risk
Normal ,Low ,Medium,Normal ,Medium,Fail,Medium,Normal ,High risk
Normal ,Low ,Medium,Normal ,Medium,Fail,Medium,Medium,High risk
Normal ,Low ,Medium,Normal ,Medium,Fail,Medium,Fail,High risk
Normal ,Low ,Medium,Normal ,Medium,Fail,Fail,Normal ,High risk
Normal ,Low ,Medium,Normal ,Medium,Fail,Fail,Medium,High risk
Normal ,Low ,Medium,Normal ,Medium,Fail,Fail,Fail,Emergency
Normal ,Low ,Medium,Medium,Fail,Normal ,Normal ,Normal ,High risk
Normal ,Low ,Medium,Medium,Fail,Normal ,Normal ,Medium,High risk
Normal ,Low ,Medium,Medium,Fail,Normal ,Normal ,Fail,High risk
Normal ,Low ,Medium,Medium,Fail,Normal ,Medium,Normal ,High risk
Normal ,Low ,Medium,Medium,Fail,Normal ,Medium,Medium,High risk
Normal ,Low ,Medium,Medium,Fail,Normal ,Medium,Fail,High risk
Normal ,Low ,Medium,Medium,Fail,Medium,Fail,Normal ,Emergency
Normal ,Low ,Medium,Medium,Fail,Medium,Fail,Medium,Emergency
Normal ,Low ,Medium,Medium,Fail,Medium,Fail,Fail,Emergency
Normal ,Low ,Medium,Medium,Normal ,Medium,Normal ,Normal ,Medium risk
Normal ,Low ,Medium,Medium,Normal ,Medium,Normal ,Medium,Medium risk
Normal ,Low ,Medium,Medium,Normal ,Medium,Normal ,Fail,High risk
Normal ,Low ,Medium,Medium,Normal ,Fail,Medium,Normal ,High risk
Normal ,Low ,Medium,Medium,Normal ,Fail,Medium,Medium,High risk
Normal ,Low ,Medium,Medium,Normal ,Fail,Medium,Fail,High risk
Normal ,Low ,Medium,Medium,Normal ,Fail,Fail,Normal ,High risk
Normal ,Low ,Medium,Medium,Normal ,Fail,Fail,Medium,High risk
Normal ,Low ,Medium,Medium,Normal ,Fail,Fail,Fail,Emergency
Normal ,Low ,Medium,Fail,Medium,Normal ,Normal ,Normal ,High risk
Normal ,Low ,Medium,Fail,Medium,Normal ,Normal ,Medium,High risk
Normal ,Low ,Medium,Fail,Medium,Normal ,Normal ,Fail,High risk
Normal ,Low ,Medium,Fail,Medium,Normal ,Medium,Normal ,High risk
Normal ,Low ,Medium,Fail,Medium,Normal ,Medium,Medium,High risk
Normal ,Low ,Medium,Fail,Medium,Normal ,Medium,Fail,High risk
Normal ,Low ,Medium,Fail,Medium,Medium,Fail,Normal ,High risk
Normal ,Low ,Medium,Fail,Medium,Medium,Fail,Medium,High risk
Normal ,Low ,Medium,Fail,Medium,Medium,Fail,Fail,Emergency
Normal ,Low ,Medium,Fail,Fail,Medium,Normal ,Normal ,High risk
Normal ,Low ,Medium,Fail,Fail,Medium,Normal ,Medium,Emergency
Normal ,Low ,Medium,Fail,Fail,Medium,Normal ,Fail,Emergency
Normal ,Low ,Medium,Fail,Fail,Fail,Medium,Normal ,Emergency
Normal ,Low ,Medium,Fail,Fail,Fail,Medium,Medium,Emergency
Normal ,Low ,Medium,Fail,Fail,Fail,Medium,Fail,Emergency
Normal ,Low ,Medium,Fail,Fail,Fail,Fail,Normal ,Emergency
Normal ,Low ,Medium,Fail,Fail,Fail,Fail,Medium,Emergency
Normal ,Low ,Medium,Fail,Fail,Fail,Fail,Fail,Emergency
Normal ,Low ,Fail,Normal ,Normal ,Normal ,Normal ,Normal ,Medium risk
Normal ,Low ,Fail,Normal ,Normal ,Normal ,Normal ,Medium,Medium risk
Normal ,Low ,Fail,Normal ,Normal ,Normal ,Normal ,Fail,High risk
Normal ,Low ,Fail,Normal ,Normal ,Normal ,Medium,Normal ,Medium risk
Normal ,Low ,Fail,Normal ,Normal ,Normal ,Medium,Medium,High risk
Normal ,Low ,Fail,Normal ,Normal ,Normal ,Medium,Fail,High risk
Normal ,Low ,Fail,Normal ,Normal ,Medium,Fail,Normal ,High risk
Normal ,Low ,Fail,Normal ,Normal ,Medium,Fail,Medium,High risk
Normal ,Low ,Fail,Normal ,Normal ,Medium,Fail,Fail,High risk
Normal ,Low ,Fail,Normal ,Medium,Medium,Normal ,Normal ,High risk
Normal ,Low ,Fail,Normal ,Medium,Medium,Normal ,Medium,High risk
Normal ,Low ,Fail,Normal ,Medium,Medium,Normal ,Fail,High risk
Normal ,Low ,Fail,Normal ,Medium,Fail,Medium,Normal ,Emergency
Normal ,Low ,Fail,Normal ,Medium,Fail,Medium,Medium,Emergency
Normal ,Low ,Fail,Normal ,Medium,Fail,Medium,Fail,Emergency
Normal ,Low ,Fail,Normal ,Medium,Fail,Fail,Normal ,Emergency
Normal ,Low ,Fail,Normal ,Medium,Fail,Fail,Medium,Emergency
Normal ,Low ,Fail,Normal ,Medium,Fail,Fail,Fail,Emergency
Normal ,Low ,Fail,Medium,Fail,Normal ,Normal ,Normal ,High risk
Normal ,Low ,Fail,Medium,Fail,Normal ,Normal ,Medium,High risk
Normal ,Low ,Fail,Medium,Fail,Normal ,Normal ,Fail,Emergency
Normal ,Low ,Fail,Medium,Fail,Normal ,Medium,Normal ,High risk
Normal ,Low ,Fail,Medium,Fail,Normal ,Medium,Medium,High risk
Normal ,Low ,Fail,Medium,Fail,Normal ,Medium,Fail,Emergency
Normal ,Low ,Fail,Medium,Fail,Medium,Fail,Normal ,Emergency
Normal ,Low ,Fail,Medium,Fail,Medium,Fail,Medium,Emergency
Normal ,Low ,Fail,Medium,Fail,Medium,Fail,Fail,Emergency
Normal ,Low ,Fail,Medium,Normal ,Medium,Normal ,Normal ,High risk
Normal ,Low ,Fail,Medium,Normal ,Medium,Normal ,Medium,High risk
Normal ,Low ,Fail,Medium,Normal ,Medium,Normal ,Fail,High risk
Normal ,Low ,Fail,Medium,Normal ,Fail,Medium,Normal ,High risk
Normal ,Low ,Fail,Medium,Normal ,Fail,Medium,Medium,High risk
Normal ,Low ,Fail,Medium,Normal ,Fail,Medium,Fail,Emergency
Normal ,Low ,Fail,Medium,Normal ,Fail,Fail,Normal ,Emergency
Normal ,Low ,Fail,Medium,Normal ,Fail,Fail,Medium,Emergency
Normal ,Low ,Fail,Medium,Normal ,Fail,Fail,Fail,Emergency
Normal ,Low ,Fail,Fail,Medium,Normal ,Normal ,Normal ,High risk
Normal ,Low ,Fail,Fail,Medium,Normal ,Normal ,Medium,High risk
Normal ,Low ,Fail,Fail,Medium,Normal ,Normal ,Fail,Emergency
Normal ,Low ,Fail,Fail,Medium,Normal ,Medium,Normal ,High risk
Normal ,Low ,Fail,Fail,Medium,Normal ,Medium,Medium,High risk
Normal ,Low ,Fail,Fail,Medium,Normal ,Medium,Fail,Emergency
Normal ,Low ,Fail,Fail,Medium,Medium,Fail,Normal ,Emergency
Normal ,Low ,Fail,Fail,Medium,Medium,Fail,Medium,Emergency
Normal ,Low ,Fail,Fail,Medium,Medium,Fail,Fail,Emergency
Normal ,Low ,Fail,Fail,Fail,Medium,Normal ,Normal ,Emergency
Normal ,Low ,Fail,Fail,Fail,Medium,Normal ,Medium,Emergency
Normal ,Low ,Fail,Fail,Fail,Medium,Normal ,Fail,Emergency
Normal ,Low ,Fail,Fail,Fail,Fail,Medium,Normal ,Emergency
Normal ,Low ,Fail,Fail,Fail,Fail,Medium,Medium,Emergency
Normal ,Low ,Fail,Fail,Fail,Fail,Medium,Fail,Emergency
Normal ,Low ,Fail,Fail,Fail,Fail,Fail,Normal ,Emergency
Normal ,Low ,Fail,Fail,Fail,Fail,Fail,Medium,Emergency
Normal ,Low ,Fail,Fail,Fail,Fail,Fail,Fail,Emergency
Normal ,Medium,Normal,Normal ,Normal ,Normal ,Normal ,Normal ,Low risk 
Normal ,Medium,Normal ,Normal ,Normal ,Normal ,Normal ,Medium,Medium risk
Normal ,Medium,Normal ,Normal ,Normal ,Normal ,Normal ,Fail,High risk
Normal ,Medium,Normal ,Normal ,Normal ,Normal ,Medium,Normal ,Medium risk
Normal ,Medium,Normal ,Normal ,Normal ,Normal ,Medium,Medium,Medium risk
Normal ,Medium,Normal ,Normal ,Normal ,Normal ,Medium,Fail,High risk
Normal ,Medium,Normal ,Normal ,Normal ,Medium,Fail,Normal ,High risk
Normal ,Medium,Normal ,Normal ,Normal ,Medium,Fail,Medium,High risk
Normal ,Medium,Normal ,Normal ,Normal ,Medium,Fail,Fail,High risk
Normal ,Medium,Normal ,Normal ,Medium,Medium,Normal ,Normal ,Medium risk
Normal ,Medium,Normal ,Normal ,Medium,Medium,Normal ,Medium,Medium risk
Normal ,Medium,Normal ,Normal ,Medium,Medium,Normal ,Fail,High risk
Normal ,Medium,Normal ,Normal ,Medium,Fail,Medium,Normal ,High risk
Normal ,Medium,Normal ,Normal ,Medium,Fail,Medium,Medium,High risk
Normal ,Medium,Normal ,Normal ,Medium,Fail,Medium,Fail,High risk
Normal ,Medium,Normal ,Normal ,Medium,Fail,Fail,Normal ,High risk
Normal ,Medium,Normal ,Normal ,Medium,Fail,Fail,Medium,High risk
Normal ,Medium,Normal ,Normal ,Medium,Fail,Fail,Fail,Emergency
Normal ,Medium,Normal ,Medium,Fail,Normal ,Normal ,Normal ,High risk
Normal ,Medium,Normal ,Medium,Fail,Normal ,Normal ,Medium,High risk
Normal ,Medium,Normal ,Medium,Fail,Normal ,Normal ,Fail,High risk
Normal ,Medium,Normal ,Medium,Fail,Normal ,Medium,Normal ,High risk
Normal ,Medium,Normal ,Medium,Fail,Normal ,Medium,Medium,High risk
Normal ,Medium,Normal ,Medium,Fail,Normal ,Medium,Fail,High risk
Normal ,Medium,Normal ,Medium,Fail,Medium,Fail,Normal ,High risk
Normal ,Medium,Normal ,Medium,Fail,Medium,Fail,Medium,High risk
Normal ,Medium,Normal ,Medium,Fail,Medium,Fail,Fail,Emergency
Normal ,Medium,Normal ,Medium,Normal ,Medium,Normal ,Normal ,Medium risk
Normal ,Medium,Normal ,Medium,Normal ,Medium,Normal ,Medium,Medium risk
Normal ,Medium,Normal ,Medium,Normal ,Medium,Normal ,Fail,High risk
Normal ,Medium,Normal ,Medium,Normal ,Fail,Medium,Normal ,High risk
Normal ,Medium,Normal ,Medium,Normal ,Fail,Medium,Medium,High risk
Normal ,Medium,Normal ,Medium,Normal ,Fail,Medium,Fail,High risk
Normal ,Medium,Normal ,Medium,Normal ,Fail,Fail,Normal ,High risk
Normal ,Medium,Normal ,Medium,Normal ,Fail,Fail,Medium,High risk
Normal ,Medium,Normal ,Medium,Normal ,Fail,Fail,Fail,Emergency
Normal ,Medium,Normal ,Fail,Medium,Normal ,Normal ,Normal ,High risk
Normal ,Medium,Normal ,Fail,Medium,Normal ,Normal ,Medium,High risk
Normal ,Medium,Normal ,Fail,Medium,Normal ,Normal ,Fail,High risk
Normal ,Medium,Normal ,Fail,Medium,Normal ,Medium,Normal ,High risk
Normal ,Medium,Normal ,Fail,Medium,Normal ,Medium,Medium,High risk
Normal ,Medium,Normal ,Fail,Medium,Normal ,Medium,Fail,High risk
Normal ,Medium,Normal ,Fail,Medium,Medium,Fail,Normal ,High risk
Normal ,Medium,Normal ,Fail,Medium,Medium,Fail,Medium,High risk
Normal ,Medium,Normal ,Fail,Medium,Medium,Fail,Fail,Emergency
Normal ,Medium,Normal ,Fail,Fail,Medium,Normal ,Normal ,Emergency
Normal ,Medium,Normal ,Fail,Fail,Medium,Normal ,Medium,Emergency
Normal ,Medium,Normal ,Fail,Fail,Medium,Normal ,Fail,Emergency
Normal ,Medium,Normal ,Fail,Fail,Fail,Medium,Normal ,Emergency
Normal ,Medium,Normal ,Fail,Fail,Fail,Medium,Medium,Emergency
Normal ,Medium,Normal ,Fail,Fail,Fail,Medium,Fail,Emergency
Normal ,Medium,Normal ,Fail,Fail,Fail,Fail,Normal ,Emergency
Normal ,Medium,Normal ,Fail,Fail,Fail,Fail,Medium,Emergency
Normal ,Medium,Normal ,Fail,Fail,Fail,Fail,Fail,Emergency
Normal ,Medium,Medium,Normal ,Normal ,Normal ,Normal ,Normal ,Medium risk
Normal ,Medium,Medium,Normal ,Normal ,Normal ,Normal ,Medium,Medium risk
Normal ,Medium,Medium,Normal ,Normal ,Normal ,Normal ,Fail,High risk
Normal ,Medium,Medium,Normal ,Normal ,Normal ,Medium,Normal ,Medium risk
Normal ,Medium,Medium,Normal ,Normal ,Normal ,Medium,Medium,Medium risk
Normal ,Medium,Medium,Normal ,Normal ,Normal ,Medium,Fail,High risk
Normal ,Medium,Medium,Normal ,Normal ,Medium,Fail,Normal ,High risk
Normal ,Medium,Medium,Normal ,Normal ,Medium,Fail,Medium,High risk
Normal ,Medium,Medium,Normal ,Normal ,Medium,Fail,Fail,High risk
Normal ,Medium,Medium,Normal ,Medium,Medium,Normal ,Normal ,Medium risk
Normal ,Medium,Medium,Normal ,Medium,Medium,Normal ,Medium,Medium risk
Normal ,Medium,Medium,Normal ,Medium,Medium,Normal ,Fail,High risk
Normal ,Medium,Medium,Normal ,Medium,Fail,Medium,Normal ,High risk
Normal ,Medium,Medium,Normal ,Medium,Fail,Medium,Medium,High risk
Normal ,Medium,Medium,Normal ,Medium,Fail,Medium,Fail,High risk
Normal ,Medium,Medium,Normal ,Medium,Fail,Fail,Normal ,High risk
Normal ,Medium,Medium,Normal ,Medium,Fail,Fail,Medium,High risk
Normal ,Medium,Medium,Normal ,Medium,Fail,Fail,Fail,Emergency
Normal ,Medium,Medium,Medium,Fail,Normal ,Normal ,Normal ,High risk
Normal ,Medium,Medium,Medium,Fail,Normal ,Normal ,Medium,High risk
Normal ,Medium,Medium,Medium,Fail,Normal ,Normal ,Fail,High risk
Normal ,Medium,Medium,Medium,Fail,Normal ,Medium,Normal ,High risk
Normal ,Medium,Medium,Medium,Fail,Normal ,Medium,Medium,High risk
Normal ,Medium,Medium,Medium,Fail,Normal ,Medium,Fail,High risk
Normal ,Medium,Medium,Medium,Fail,Medium,Fail,Normal ,High risk
Normal ,Medium,Medium,Medium,Fail,Medium,Fail,Medium,High risk
Normal ,Medium,Medium,Medium,Fail,Medium,Fail,Fail,Emergency
Normal ,Medium,Medium,Medium,Normal ,Medium,Normal ,Normal ,Medium risk
Normal ,Medium,Medium,Medium,Normal ,Medium,Normal ,Medium,Medium risk
Normal ,Medium,Medium,Medium,Normal ,Medium,Normal ,Fail,High risk
Normal ,Medium,Medium,Medium,Normal ,Fail,Medium,Normal ,High risk
Normal ,Medium,Medium,Medium,Normal ,Fail,Medium,Medium,High risk
Normal ,Medium,Medium,Medium,Normal ,Fail,Medium,Fail,High risk
Normal ,Medium,Medium,Medium,Normal ,Fail,Fail,Normal ,High risk
Normal ,Medium,Medium,Medium,Normal ,Fail,Fail,Medium,High risk
Normal ,Medium,Medium,Medium,Normal ,Fail,Fail,Fail,Emergency
Normal ,Medium,Medium,Fail,Medium,Normal ,Normal ,Normal ,High risk
Normal ,Medium,Medium,Fail,Medium,Normal ,Normal ,Medium,High risk
Normal ,Medium,Medium,Fail,Medium,Normal ,Normal ,Fail,High risk
Normal ,Medium,Medium,Fail,Medium,Normal ,Medium,Normal ,High risk
Normal ,Medium,Medium,Fail,Medium,Normal ,Medium,Medium,High risk
Normal ,Medium,Medium,Fail,Medium,Normal ,Medium,Fail,High risk
Normal ,Medium,Medium,Fail,Medium,Medium,Fail,Normal ,High risk
Normal ,Medium,Medium,Fail,Medium,Medium,Fail,Medium,High risk
Normal ,Medium,Medium,Fail,Medium,Medium,Fail,Fail,Emergency
Normal ,Medium,Medium,Fail,Fail,Medium,Normal ,Normal ,High risk
Normal ,Medium,Medium,Fail,Fail,Medium,Normal ,Medium,High risk
Normal ,Medium,Medium,Fail,Fail,Medium,Normal ,Fail,Emergency
Normal ,Medium,Medium,Fail,Fail,Fail,Medium,Normal ,Emergency
Normal ,Medium,Medium,Fail,Fail,Fail,Medium,Medium,Emergency
Normal ,Medium,Medium,Fail,Fail,Fail,Medium,Fail,Emergency
Normal ,Medium,Medium,Fail,Fail,Fail,Fail,Normal ,Emergency
Normal ,Medium,Medium,Fail,Fail,Fail,Fail,Medium,Emergency
Normal ,Medium,Medium,Fail,Fail,Fail,Fail,Fail,Emergency
Normal ,Medium,Fail,Normal ,Normal ,Normal ,Normal ,Normal ,High risk
Normal ,Medium,Fail,Normal ,Normal ,Normal ,Normal ,Medium,High risk
Normal ,Medium,Fail,Normal ,Normal ,Normal ,Normal ,Fail,High risk
Normal ,Medium,Fail,Normal ,Normal ,Normal ,Medium,Normal ,High risk
Normal ,Medium,Fail,Normal ,Normal ,Normal ,Medium,Medium,High risk
Normal ,Medium,Fail,Normal ,Normal ,Normal ,Medium,Fail,High risk
Normal ,Medium,Fail,Normal ,Normal ,Medium,Fail,Normal ,High risk
Normal ,Medium,Fail,Normal ,Normal ,Medium,Fail,Medium,High risk
Normal ,Medium,Fail,Normal ,Normal ,Medium,Fail,Fail,Emergency
Normal ,Medium,Fail,Normal ,Medium,Medium,Normal ,Normal ,High risk
Normal ,Medium,Fail,Normal ,Medium,Medium,Normal ,Medium,High risk
Normal ,Medium,Fail,Normal ,Medium,Medium,Normal ,Fail,High risk
Normal ,Medium,Fail,Normal ,Medium,Fail,Medium,Normal ,High risk
Normal ,Medium,Fail,Normal ,Medium,Fail,Medium,Medium,High risk
Normal ,Medium,Fail,Normal ,Medium,Fail,Medium,Fail,Emergency
Normal ,Medium,Fail,Normal ,Medium,Fail,Fail,Normal ,Emergency
Normal ,Medium,Fail,Normal ,Medium,Fail,Fail,Medium,Emergency
Normal ,Medium,Fail,Normal ,Medium,Fail,Fail,Fail,Emergency
Normal ,Medium,Fail,Medium,Fail,Normal ,Normal ,Normal ,High risk
Normal ,Medium,Fail,Medium,Fail,Normal ,Normal ,Medium,High risk
Normal ,Medium,Fail,Medium,Fail,Normal ,Normal ,Fail,Emergency
Normal ,Medium,Fail,Medium,Fail,Normal ,Medium,Normal ,High risk
Normal ,Medium,Fail,Medium,Fail,Normal ,Medium,Medium,High risk
Normal ,Medium,Fail,Medium,Fail,Normal ,Medium,Fail,Emergency
Normal ,Medium,Fail,Medium,Fail,Medium,Fail,Normal ,Emergency
Normal ,Medium,Fail,Medium,Fail,Medium,Fail,Medium,Emergency
Normal ,Medium,Fail,Medium,Fail,Medium,Fail,Fail,Emergency
Normal ,Medium,Fail,Medium,Normal ,Medium,Normal ,Normal ,High risk
Normal ,Medium,Fail,Medium,Normal ,Medium,Normal ,Medium,High risk
Normal ,Medium,Fail,Medium,Normal ,Medium,Normal ,Fail,High risk
Normal ,Medium,Fail,Medium,Normal ,Fail,Medium,Normal ,High risk
Normal ,Medium,Fail,Medium,Normal ,Fail,Medium,Medium,High risk
Normal ,Medium,Fail,Medium,Normal ,Fail,Medium,Fail,Emergency
Normal ,Medium,Fail,Medium,Normal ,Fail,Fail,Normal ,Emergency
Normal ,Medium,Fail,Medium,Normal ,Fail,Fail,Medium,Emergency
Normal ,Medium,Fail,Medium,Normal ,Fail,Fail,Fail,Emergency
Normal ,Medium,Fail,Fail,Medium,Normal ,Normal ,Normal ,High risk
Normal ,Medium,Fail,Fail,Medium,Normal ,Normal ,Medium,High risk
Normal ,Medium,Fail,Fail,Medium,Normal ,Normal ,Fail,High risk
Normal ,Medium,Fail,Fail,Medium,Normal ,Medium,Normal ,High risk
Normal ,Medium,Fail,Fail,Medium,Normal ,Medium,Medium,High risk
Normal ,Medium,Fail,Fail,Medium,Normal ,Medium,Fail,High risk
Normal ,Medium,Fail,Fail,Medium,Medium,Fail,Normal ,High risk
Normal ,Medium,Fail,Fail,Medium,Medium,Fail,Medium,High risk
Normal ,Medium,Fail,Fail,Medium,Medium,Fail,Fail,Emergency
Normal ,Medium,Fail,Fail,Fail,Medium,Normal ,Normal ,Emergency
Normal ,Medium,Fail,Fail,Fail,Medium,Normal ,Medium,Emergency
Normal ,Medium,Fail,Fail,Fail,Medium,Normal ,Fail,Emergency
Normal ,Medium,Fail,Fail,Fail,Fail,Medium,Normal ,Emergency
Normal ,Medium,Fail,Fail,Fail,Fail,Medium,Medium,Emergency
Normal ,Medium,Fail,Fail,Fail,Fail,Medium,Fail,Emergency
Normal ,Medium,Fail,Fail,Fail,Fail,Fail,Normal ,Emergency
Normal ,Medium,Fail,Fail,Fail,Fail,Fail,Medium,Emergency
Normal ,Medium,Fail,Fail,Fail,Fail,Fail,Fail,Emergency
Normal ,Fail,Normal,Normal ,Normal ,Normal ,Normal ,Normal ,Medium risk
Normal ,Fail,Normal ,Normal ,Normal ,Normal ,Normal ,Medium,Medium risk
Normal ,Fail,Normal ,Normal ,Normal ,Normal ,Normal ,Fail,High risk
Normal ,Fail,Normal ,Normal ,Normal ,Normal ,Medium,Normal ,Medium risk
Normal ,Fail,Normal ,Normal ,Normal ,Normal ,Medium,Medium,Medium risk
Normal ,Fail,Normal ,Normal ,Normal ,Normal ,Medium,Fail,High risk
Normal ,Fail,Normal ,Normal ,Normal ,Medium,Fail,Normal ,High risk
Normal ,Fail,Normal ,Normal ,Normal ,Medium,Fail,Medium,High risk
Normal ,Fail,Normal ,Normal ,Normal ,Medium,Fail,Fail,High risk
Normal ,Fail,Normal ,Normal ,Medium,Medium,Normal ,Normal ,Medium risk
Normal ,Fail,Normal ,Normal ,Medium,Medium,Normal ,Medium,Medium risk
Normal ,Fail,Normal ,Normal ,Medium,Medium,Normal ,Fail,High risk
Normal ,Fail,Normal ,Normal ,Medium,Fail,Medium,Normal ,High risk
Normal ,Fail,Normal ,Normal ,Medium,Fail,Medium,Medium,High risk
Normal ,Fail,Normal ,Normal ,Medium,Fail,Medium,Fail,Emergency
Normal ,Fail,Normal ,Normal ,Medium,Fail,Fail,Normal ,Emergency
Normal ,Fail,Normal ,Normal ,Medium,Fail,Fail,Medium,Emergency
Normal ,Fail,Normal ,Normal ,Medium,Fail,Fail,Fail,Emergency
Normal ,Fail,Normal ,Medium,Fail,Normal ,Normal ,Normal ,High risk
Normal ,Fail,Normal ,Medium,Fail,Normal ,Normal ,Medium,High risk
Normal ,Fail,Normal ,Medium,Fail,Normal ,Normal ,Fail,Emergency
Normal ,Fail,Normal ,Medium,Fail,Normal ,Medium,Normal ,High risk
Normal ,Fail,Normal ,Medium,Fail,Normal ,Medium,Medium,High risk
Normal ,Fail,Normal ,Medium,Fail,Normal ,Medium,Fail,Emergency
Normal ,Fail,Normal ,Medium,Fail,Medium,Fail,Normal ,Emergency
Normal ,Fail,Normal ,Medium,Fail,Medium,Fail,Medium,Emergency
Normal ,Fail,Normal ,Medium,Fail,Medium,Fail,Fail,Emergency
Normal ,Fail,Normal ,Medium,Normal ,Medium,Normal ,Normal ,High risk
